1462795667230352	2071	cb	ee	09	e1	6f	aa
1462795667230405	2073	cf	2e	6f	7a	9a	c2
1462795667274860	2075	9d	01	2a	00	02	00
1462795667275765	2076	95	bc	db	57	ab	9e
1462795667276770	2078	4f	d5	73	75	4b	cc
1462795667276837	2079	9a	99	27	ea	63	b5
1462795667277013	2081	3b	71	bc	84	95	5f
1462795667277140	2082	f9	cf	f4	ca	c1	f1
1462795667277218	2083	49	58	85	62	08	00
1462795667277348	2084	cb	ee	09	e1	6f	aa
1462795667277405	2086	cf	2e	6f	7a	9a	c2
1462795667323767	2088	9d	01	2a	00	02	00
1462795667324770	2089	95	bc	db	57	ab	9e
1462795667324845	2090	4f	d5	73	75	4b	cc
1462795667325017	2092	9a	99	27	ea	63	b5
1462795667325147	2093	3b	71	bc	84	95	5f
1462795667325266	2094	f9	cf	f4	ca	c1	f1
1462795667325342	2095	49	58	85	62	08	00
1462795667325465	2097	cb	ee	09	e1	6f	aa
1462795667325533	2098	cf	2e	6f	7a	9a	c2
1462795667372878	2100	9d	01	2a	00	02	00
1462795667373769	2101	95	bc	db	57	ab	9e
1462795667373847	2102	4f	d5	73	75	4b	cc
1462795667374058	2104	9a	99	27	ea	63	b5
1462795667374733	2106	3b	71	bc	84	95	5f
1462795667374822	2107	f9	cf	f4	ca	c1	f1
1462795667375007	2108	49	58	85	62	08	00
1462795667375071	2109	cb	ee	09	e1	6f	aa
1462795667375194	2111	cf	2e	6f	7a	9a	c2
1462795667421836	2114	9d	01	2a	00	02	00
1462795667422836	2115	95	bc	db	57	ab	9e
1462795667423734	2117	4f	d5	73	75	4b	cc
1462795667423938	2118	9a	99	27	ea	63	b5
1462795667423978	2119	3b	71	bc	84	95	5f
1462795667424152	2121	f9	cf	f4	ca	c1	f1
1462795667424226	2122	49	58	85	62	08	00
1462795667424701	2124	cb	ee	09	e1	6f	aa
1462795667424765	2125	cf	2e	6f	7a	9a	c2
1462795667475883	2128	9d	01	2a	00	02	00
1462795667476785	2129	95	bc	db	57	ab	9e
1462795667476877	2130	4f	d5	73	75	4b	cc
1462795667477069	2132	9a	99	27	ea	63	b5
1462795667477141	2133	3b	71	bc	84	95	5f
1462795667477274	2135	f9	cf	f4	ca	c1	f1
1462795667477791	2136	49	58	85	62	08	00
1462795667477883	2137	cb	ee	09	e1	6f	aa
1462795667477945	2139	cf	2e	6f	7a	9a	c2
1462795667528855	2141	9d	01	2a	00	02	00
1462795667529797	2142	dd	eb	1b	bd	63	77
1462795667529888	2143	fd	f4	ab	a4	f6	2f
1462795667530043	2145	8f	3d	c6	98	96	59
1462795667530788	2146	4e	23	a1	0e	b3	bd
1462795667530909	2147	75	5b	25	4a	8b	6d
1462795667530998	2149	7f	56	5e	8c	09	41
1462795667531126	2150	47	16	40	f6	6c	07
1462795667531284	2152	d6	32	52	80	c7	10
1462795667531372	2153	74	55	5a	3a	88	8b
1462795667557579	2155	e4	e9	48	7b	f3	11
1462795667585906	2157	9d	01	2a	00	02	00
1462795667586808	2158	04	3e	a0	87	d4	10
1462795667587786	2160	8a	40	c0	0a	06	ba
1462795667587885	2161	c1	b6	f1	5a	18	9f
1462795667588046	2162	3a	4a	7f	b5	29	17
1462795667588198	2164	ae	ed	13	5f	5e	6a
1462795667588265	2165	e9	67	72	a4	37	0a
1462795667588388	2167	da	58	a9	88	24	6a
1462795667588768	2168	0c	53	c2	ac	0d	12
1462795667588872	2169	56	03	2a	a3	2f	89
1462795667640923	2172	9d	01	2a	00	02	00
1462795667641789	2173	09	d9	01	3b	20	27
1462795667641891	2174	6c	ba	cd	8d	3d	8a
1462795667642036	2176	7d	0f	e8	4f	09	50
1462795667642206	2177	98	88	d4	87	0a	d9
1462795667642272	2178	21	92	a3	be	df	89
1462795667642837	2180	d4	60	40	9f	32	8c
1462795667643011	2181	7c	86	7a	c9	41	e7
1462795667643022	2182	ab	4a	f1	ac	5a	db
1462795667643179	2184	55	39	da	47	dc	11
1462795667692944	2186	9d	01	2a	00	02	00
1462795667693828	2187	6e	f0	6d	de	0d	bb
1462795667693906	2188	83	b4	66	d1	31	54
1462795667694084	2190	bd	a0	de	a1	7d	b0
1462795667694149	2191	0a	af	4b	8d	34	f6
1462795667694307	2192	f1	d8	c7	17	32	c8
1462795667694811	2194	89	07	01	82	31	db
1462795667694918	2195	72	da	a0	d2	b8	57
1462795667695026	2196	0c	46	34	dd	95	db
1462795667695103	2198	9e	d7	97	40	f4	6d
1462795667743936	2200	9d	01	2a	00	02	00
1462795667744839	2201	36	ef	06	dd	e0	db
1462795667744917	2202	2c	c5	35	70	51	ae
1462795667745160	2204	0c	7a	bf	ac	be	f9
1462795667745816	2205	b4	58	e8	3a	68	79
1462795667745918	2207	81	d6	1b	46	03	cd
1462795667746102	2208	74	73	34	df	5f	ea
1462795667746216	2209	30	da	12	4e	54	39
1462795667746304	2210	d1	82	df	5d	2e	db
1462795667746342	2211	97	df	f0	29	7f	e9
1462795667790941	2213	9d	01	2a	00	02	00
1462795667791841	2214	cf	4f	cb	1a	54	f3
1462795667792822	2216	5c	78	ec	64	cd	9d
1462795667792963	2217	d0	ee	e7	2b	6e	76
1462795667793089	2219	da	26	24	9f	d6	e1
1462795667793226	2220	74	5e	e6	e9	56	dd
1462795667793297	2222	8f	ff	69	67	9c	2e
1462795667793416	2223	e7	b2	be	84	6c	c7
1462795667793795	2225	d5	f9	71	97	4c	85
1462795667793818	2226	43	b4	d6	54	0d	5d
1462795667840956	2228	9d	01	2a	00	02	00
1462795667841810	2229	f0	0c	fb	4f	d0	e4
1462795667841981	2231	cb	ea	fc	81	96	6d
1462795667842089	2233	95	36	07	99	42	d4
1462795667842858	2235	f9	3e	36	2b	80	55
1462795667842966	2237	c3	0d	11	21	4f	ab
1462795667843096	2239	79	a7	05	bb	7b	e5
1462795667843237	2241	21	cd	bb	da	4d	30
1462795667843248	2243	31	99	49	e7	3a	fb
1462795667870915	2245	d2	82	9e	82	5b	34
1462795667899870	2247	9d	01	2a	00	02	00
1462795667900860	2249	d2	82	9e	82	5b	34
1462795667900959	2251	f0	0c	fb	4f	d0	e4
1462795667901103	2253	cb	ea	fc	81	96	6d
1462795667901187	2255	95	36	07	99	42	d4
1462795667901313	2257	f9	3e	36	2b	80	55
1462795667901465	2259	c3	0d	11	21	4f	ab
1462795667927941	2262	79	a7	05	bb	7b	e5
1462795667928864	2264	21	cd	bb	da	4d	30
1462795667928883	2266	31	99	49	e7	3a	fb
1462795667944967	2269	9d	01	2a	00	02	00
1462795667945838	2271	cf	4f	cb	1a	54	f3
1462795667945936	2273	25	60	49	95	bd	90
1462795667946105	2275	f9	3e	b8	35	ce	8f
1462795667946813	2277	db	6a	ef	f5	ad	93
1462795667946935	2278	91	a2	62	ee	c8	32
1462795667955937	2280	e5	f2	34	ac	0b	74
1462795667956939	2281	c7	82	b3	9b	ef	c4
1462795667957939	2283	85	04	0f	a4	e9	56
1462795667973536	2284	6b	1c	79	b4	f6	3f
1462795667993970	2286	9d	01	2a	00	02	00
1462795667994870	2287	d1	81	3a	30	27	46
1462795667995875	2289	59	13	4e	57	0f	48
1462795667995987	2290	53	20	94	3b	df	71
1462795667996076	2292	c3	25	37	b7	2b	87
1462795667996209	2293	6c	88	ff	56	40	11
1462795667996324	2295	6a	65	5b	4d	f6	c4
1462795668001954	2296	b6	20	23	09	60	9f
1462795668002842	2298	5a	78	e8	e3	77	21
1462795668022595	2299	ce	fb	ff	77	47	dc
1462795668044940	2301	9d	01	2a	00	02	00
1462795668045883	2302	79	e9	f9	63	4a	9e
1462795668046002	2304	7a	51	0b	c6	89	f2
1462795668046082	2305	b3	c8	58	2c	87	71
1462795668046217	2307	09	d8	93	43	6d	0b
1462795668046332	2308	72	9d	8c	96	05	cc
1462795668046450	2310	c4	79	31	bd	af	d6
1462795668050955	2311	40	24	24	b8	93	b0
1462795668051647	2313	b0	0d	ce	6f	10	05
1462795668094964	2315	9d	01	2a	00	02	00
1462795668095889	2316	79	e9	f9	63	4a	9e
1462795668096893	2318	7a	51	0b	c6	89	f2
1462795668096976	2319	b3	c8	58	2c	87	71
1462795668097106	2321	09	d8	93	43	6d	0b
1462795668097211	2322	72	9d	8c	96	05	cc
1462795668097332	2324	c4	79	31	bd	af	d6
1462795668097481	2325	40	24	24	b8	93	b0
1462795668097523	2326	b0	0d	ce	6f	10	05
1462795668148995	2328	9d	01	2a	00	02	00
1462795668149890	2329	79	e9	f9	63	4a	9e
1462795668150891	2331	7a	51	0b	c6	89	f2
1462795668151000	2332	b3	c8	58	2c	87	71
1462795668151100	2333	09	d8	93	43	6d	0b
1462795668151228	2335	72	9d	8c	96	05	cc
1462795668151392	2336	c4	79	31	bd	af	d6
1462795668151471	2337	40	24	24	b8	93	b0
1462795668151567	2338	b0	0d	ce	6f	10	05
1462795668200977	2341	9d	01	2a	00	02	00
1462795668201903	2342	79	e9	f9	63	4a	9e
1462795668202900	2344	7a	51	0b	c6	89	f2
1462795668203013	2345	b3	c8	58	2c	87	71
1462795668203107	2346	09	d8	93	43	6d	0b
1462795668203258	2348	72	9d	8c	96	05	cc
1462795668203487	2349	c4	79	31	bd	af	d6
1462795668203497	2350	40	24	24	b8	93	b0
1462795668203534	2351	b0	0d	ce	6f	10	05
1462795668249031	2353	9d	01	2a	00	02	00
1462795668249963	2354	79	e9	f9	63	4a	9e
1462795668250868	2356	7a	51	0b	c6	89	f2
1462795668250990	2357	b3	c8	58	2c	87	71
1462795668251117	2359	09	d8	93	43	6d	0b
1462795668251236	2360	72	9d	8c	96	05	cc
1462795668251359	2361	c4	79	31	bd	af	d6
1462795668251482	2362	40	24	24	b8	93	b0
1462795668251540	2363	b0	0d	ce	6f	10	05
1462795668303030	2365	9d	01	2a	00	02	00
1462795668303933	2366	79	e9	f9	63	4a	9e
1462795668304056	2367	7a	51	0b	c6	89	f2
1462795668304248	2369	b3	c8	58	2c	87	71
1462795668304899	2370	09	d8	93	43	6d	0b
1462795668304989	2371	72	9d	8c	96	05	cc
1462795668305136	2373	c4	79	31	bd	af	d6
1462795668305307	2374	40	24	24	b8	93	b0
1462795668305315	2375	b0	0d	ce	6f	10	05
1462795668361020	2377	79	e9	f9	63	4a	9e
1462795668361925	2379	7a	51	0b	c6	89	f2
1462795668362062	2381	b3	c8	58	2c	87	71
1462795668362122	2383	09	d8	93	43	6d	0b
1462795668362293	2385	72	9d	8c	96	05	cc
1462795668362370	2387	c4	79	31	bd	af	d6
1462795668362877	2389	40	24	24	b8	93	b0
1462795668362894	2391	b0	0d	ce	6f	10	05
1462795668391031	2393	9d	01	2a	00	02	00
1462795668419948	2396	9d	01	2a	00	02	00
1462795668420951	2398	79	e9	f9	63	4a	9e
1462795668421091	2400	7a	51	0b	c6	89	f2
1462795668421134	2402	b3	c8	58	2c	87	71
1462795668421332	2404	09	d8	93	43	6d	0b
1462795668421385	2406	72	9d	8c	96	05	cc
1462795668421563	2408	c4	79	31	bd	af	d6
1462795668448043	2411	40	24	24	b8	93	b0
1462795668448739	2413	b0	0d	ce	6f	10	05
1462795668468042	2415	9d	01	2a	00	02	00
1462795668468939	2417	79	e9	f9	63	4a	9e
1462795668469017	2419	7a	51	0b	c6	89	f2
1462795668469194	2421	b3	c8	58	2c	87	71
1462795668469263	2423	09	d8	93	43	6d	0b
1462795668469440	2425	72	9d	8c	96	05	cc
1462795668469525	2426	c4	79	31	bd	af	d6
1462795668476022	2428	40	24	24	b8	93	b0
1462795668476786	2429	b0	0d	ce	6f	10	05
1462795668520049	2431	9d	01	2a	00	02	00
1462795668520951	2432	79	e9	f9	63	4a	9e
1462795668521025	2434	7a	51	0b	c6	89	f2
1462795668521953	2435	b3	c8	58	2c	87	71
1462795668522068	2437	09	d8	93	43	6d	0b
1462795668522154	2438	72	9d	8c	96	05	cc
1462795668522369	2440	c4	79	31	bd	af	d6
1462795668522419	2441	40	24	24	b8	93	b0
1462795668522520	2442	b0	0d	ce	6f	10	05
1462795668576056	2444	9d	01	2a	00	02	00
1462795668576957	2445	ad	20	9a	b5	c3	fa
1462795668577033	2446	21	b3	ca	ec	02	1c
1462795668577161	2448	4a	e2	e4	6b	76	19
1462795668577282	2449	11	dc	5e	8d	0a	9c
1462795668577409	2451	ea	c3	28	55	62	ea
1462795668577929	2452	a5	35	d4	f4	d7	18
1462795668578153	2454	4f	87	a1	8f	07	99
1462795668628968	2456	9d	01	2a	00	02	00
1462795668629944	2457	1f	a2	b3	f1	e0	df
1462795668630158	2459	2b	17	a6	ec	dd	fa
1462795668630168	2460	b9	fc	f5	4f	d1	75
1462795668630365	2462	ee	e4	f6	7f	b3	1f
1462795668630429	2463	dd	5c	37	ce	3c	be
1462795668630627	2464	36	cc	88	50	3d	f5
1462795668630661	2466	e0	ad	90	3f	40	20
1462795668630672	2467	60	ad	17	66	58	2c
1462795668684005	2469	9d	01	2a	00	02	00
1462795668684987	2470	14	76	7b	28	be	23
1462795668685110	2471	f6	54	fa	b8	6a	6d
1462795668685173	2473	70	72	aa	0d	b2	50
1462795668685354	2474	c4	1d	ee	74	68	f5
1462795668685461	2475	06	ea	6b	d9	37	99
1462795668685542	2477	72	09	ec	b0	7f	a3
1462795668685887	2478	86	14	a1	9c	a7	a2
1462795668685981	2480	cc	71	42	5a	95	75
1462795668739099	2482	9d	01	2a	00	02	00
1462795668739999	2483	c8	70	5f	0b	18	53
1462795668740999	2485	5a	dd	63	48	8b	c8
1462795668741092	2486	8d	b4	33	5b	39	2f
1462795668741202	2488	85	7c	53	91	c2	76
1462795668741374	2489	05	45	e0	12	2d	f5
1462795668741465	2490	67	c1	73	b9	72	df
1462795668741561	2492	1a	e9	bc	d6	cf	dc
1462795668741598	2493	5a	d6	9d	f2	ca	4b
1462795668790114	2495	9d	01	2a	00	02	00
1462795668790961	2496	c8	70	5f	0b	18	53
1462795668791081	2498	5a	dd	63	48	8b	c8
1462795668791203	2499	8d	b4	33	5b	39	2f
1462795668791985	2501	85	7c	53	91	c2	76
1462795668792068	2502	05	45	e0	12	2d	f5
1462795668792193	2504	67	c1	73	b9	72	df
1462795668792316	2505	1a	e9	bc	d6	cf	dc
1462795668792350	2506	5a	d6	9d	f2	ca	4b
1462795668843144	2509	9d	01	2a	00	02	00
1462795668843973	2510	1a	b7	bd	94	44	1a
1462795668844975	2512	08	b9	fd	38	61	13
1462795668845082	2513	79	2e	4f	9e	80	13
1462795668845208	2514	38	aa	38	64	47	97
1462795668845350	2516	e9	57	2d	1a	8e	47
1462795668845452	2517	79	9a	45	f4	cb	3c
1462795668845597	2519	8d	33	57	ff	aa	31
1462795668845619	2520	88	c1	c1	9f	ba	c7
1462795668895080	2522	9d	01	2a	00	02	00
1462795668895984	2523	1a	b7	bd	94	44	1a
1462795668896090	2525	08	b9	fd	38	61	13
1462795668896259	2526	79	2e	4f	9e	80	13
1462795668896336	2528	38	aa	38	64	47	97
1462795668896988	2529	e9	57	2d	1a	8e	47
1462795668897147	2531	79	9a	45	f4	cb	3c
1462795668897233	2532	8d	33	57	ff	aa	31
1462795668897252	2533	88	c1	c1	9f	ba	c7
1462795668946123	2537	9d	01	2a	00	02	00
1462795668947012	2538	60	f3	3d	27	57	b0
1462795668948032	2540	c7	e5	e2	fc	ce	01
1462795668948135	2541	e2	db	0a	6f	2d	8f
1462795668948309	2543	49	63	ff	17	81	31
1462795668948365	2544	bf	8e	d0	97	c6	75
1462795668948492	2546	26	a3	d9	e0	81	b6
1462795668948589	2547	45	66	39	c2	9b	ce
1462795668948687	2548	db	3c	91	44	d3	30
1462795668997095	2550	9d	01	2a	00	02	00
1462795668998023	2551	30	d8	d6	05	3d	6e
1462795668998098	2553	47	f5	c5	a8	56	6e
1462795668998282	2554	4f	01	62	fb	7b	07
1462795668998403	2555	65	b1	8f	0a	ea	75
1462795668998501	2557	b3	c9	69	71	2a	bf
1462795668998980	2558	20	c4	3a	3a	4b	3a
1462795668999174	2560	b0	58	bf	75	22	7e
1462795668999185	2561	a9	b1	c3	6d	18	da
1462795669049137	2563	9d	01	2a	00	02	00
1462795669050134	2564	23	4d	e7	ed	95	61
1462795669051029	2566	bb	4e	ee	02	db	9b
1462795669051111	2567	2b	75	f0	63	4d	a0
1462795669051293	2568	35	f5	f9	af	ca	de
1462795669051443	2570	b3	a4	b5	04	38	3c
1462795669051525	2571	c8	7b	b5	c9	fa	18
1462795669051536	2572	c4	e9	62	62	f3	6d
1462795669096147	2574	9d	01	2a	00	02	00
1462795669097144	2575	5c	7d	0a	23	3e	40
1462795669098058	2577	c1	7c	b5	83	f3	5e
1462795669098149	2578	ec	d0	3e	89	ab	63
1462795669098286	2580	df	b9	53	96	64	3c
1462795669098362	2581	ae	47	a0	f0	12	5f
1462795669098486	2583	1e	61	35	2e	50	04
1462795669098541	2584	d1	bf	3d	cf	23	59
1462795669152165	2586	9d	01	2a	00	02	00
1462795669153039	2587	4b	c6	38	18	79	32
1462795669153130	2588	a1	a7	5f	55	3e	31
1462795669153289	2590	4b	1a	4c	12	ed	0f
1462795669153370	2591	a0	95	e0	e2	ee	6d
1462795669154038	2593	69	b3	00	5a	7e	9b
1462795669154129	2594	af	40	48	0c	57	95
1462795669154225	2596	01	b1	6d	f0	5d	e3
1462795669211132	2598	9d	01	2a	00	02	00
1462795669212058	2599	3f	82	33	fd	bc	bd
1462795669212132	2600	12	99	fb	bc	b8	ef
1462795669213057	2602	a9	75	63	53	44	32
1462795669213136	2603	a1	44	1b	94	09	9b
1462795669213307	2605	29	ce	92	e4	f2	5a
1462795669213418	2606	1e	8d	0b	3c	ee	eb
1462795669213486	2607	30	8c	98	f4	8f	4a
1462795669264171	2609	9d	01	2a	00	02	00
1462795669265057	2610	c6	08	56	ba	d2	d9
1462795669265142	2612	41	e4	06	bf	c9	92
1462795669265318	2613	7e	94	d4	f2	95	f7
1462795669265437	2615	0b	60	b0	c0	6a	9e
1462795669265515	2616	86	52	df	e1	55	78
1462795669266046	2618	00	00	b5	12	1d	b0
1462795669266143	2619	7a	28	4f	8e	36	8a
1462795669266189	2620	e9	79	df	b4	02	c0
1462795669315171	2622	9d	01	2a	00	02	00
1462795669316077	2623	c6	08	56	ba	d2	d9
1462795669316156	2624	41	e4	06	bf	c9	92
1462795669316345	2626	7e	94	d4	f2	95	f7
1462795669316459	2627	0b	60	b0	c0	6a	9e
1462795669317059	2629	86	52	df	e1	55	78
1462795669317136	2630	00	00	b5	12	1d	b0
1462795669317323	2632	7a	28	4f	8e	36	8a
1462795669317338	2633	e9	79	df	b4	02	c0
1462795669364175	2635	9d	01	2a	00	02	00
1462795669365074	2636	03	eb	7d	4e	48	55
1462795669365156	2637	0d	6c	89	12	66	e0
1462795669365319	2639	93	f7	1b	f9	57	e7
1462795669365432	2641	6b	1b	fb	e4	5b	01
1462795669366048	2642	a0	e3	cf	cd	3d	ea
1462795669366125	2644	05	9f	1d	78	fa	07
1462795669366269	2645	25	f4	67	51	7b	4f
1462795669366348	2646	e3	c1	9b	2e	f6	52
1462795669417159	2649	9d	01	2a	00	02	00
1462795669418096	2650	03	eb	7d	4e	48	55
1462795669418160	2651	0d	6c	89	12	66	e0
1462795669418322	2653	93	f7	1b	f9	57	e7
1462795669419073	2654	6b	1b	fb	e4	5b	01
1462795669419260	2656	a0	e3	cf	cd	3d	ea
1462795669419325	2657	05	9f	1d	78	fa	07
1462795669419450	2659	25	f4	67	51	7b	4f
1462795669419489	2660	e3	c1	9b	2e	f6	52
1462795669470100	2663	9d	01	2a	00	02	00
1462795669471037	2664	44	22	a6	65	3c	52
1462795669471228	2666	cc	85	f6	4f	94	49
1462795669471389	2667	7f	2c	73	ab	1a	77
1462795669471489	2668	1c	2e	7a	94	b5	ae
1462795669471603	2669	11	e9	02	15	17	fc
1462795669471739	2671	72	c2	97	82	bf	5e
1462795669472016	2672	35	b0	5c	b9	dc	5c
1462795669472074	2674	23	ed	00	92	61	01
1462795669521179	2676	9d	01	2a	00	02	00
1462795669522094	2677	db	ad	44	b0	9b	8d
1462795669522178	2678	b7	83	d7	d1	3b	93
1462795669522335	2680	ac	16	e3	c1	b6	e6
1462795669522516	2681	f9	73	b9	3f	a3	64
1462795669523062	2683	74	61	b6	af	fa	c8
1462795669523200	2684	0e	a1	03	54	05	73
1462795669523307	2685	b5	5b	e3	e0	ad	15
1462795669523430	2687	67	bb	86	16	6f	92
1462795669569206	2689	9d	01	2a	00	02	00
1462795669570132	2690	db	ad	44	b0	9b	8d
1462795669570184	2692	b7	83	d7	d1	3b	93
1462795669571117	2693	ac	16	e3	c1	b6	e6
1462795669571189	2694	f9	73	b9	3f	a3	64
1462795669571330	2696	74	61	b6	af	fa	c8
1462795669571484	2697	0e	a1	03	54	05	73
1462795669571564	2698	b5	5b	e3	e0	ad	15
1462795669571686	2699	67	bb	86	16	6f	92
1462795669618178	2701	9d	01	2a	00	02	00
1462795669619120	2702	7c	1c	95	d8	71	41
1462795669620123	2704	a0	45	e1	de	38	da
1462795669620297	2705	70	f9	28	14	f1	7e
1462795669620318	2706	b6	ad	7f	ea	5a	9b
1462795669620459	2708	3c	98	4e	97	55	9d
1462795669620568	2709	63	4f	0b	46	75	d6
1462795669620691	2711	40	00	f3	56	a7	7f
1462795669620830	2712	13	64	f3	b4	d9	7f
1462795669672070	2714	9d	01	2a	00	02	00
1462795669673126	2715	7c	1c	95	d8	71	41
1462795669673201	2717	a0	45	e1	de	38	da
1462795669673416	2718	70	f9	28	14	f1	7e
1462795669673458	2719	b6	ad	7f	ea	5a	9b
1462795669674131	2721	3c	98	4e	97	55	9d
1462795669674223	2722	63	4f	0b	46	75	d6
1462795669674369	2724	40	00	f3	56	a7	7f
1462795669674445	2725	13	64	f3	b4	d9	7f
1462795669722210	2727	9d	01	2a	00	02	00
1462795669723132	2728	7c	1c	95	d8	71	41
1462795669724137	2730	a0	45	e1	de	38	da
1462795669724298	2731	70	f9	28	14	f1	7e
1462795669724335	2732	b6	ad	7f	ea	5a	9b
1462795669724464	2734	3c	98	4e	97	55	9d
1462795669724583	2735	63	4f	0b	46	75	d6
1462795669724705	2737	40	00	f3	56	a7	7f
1462795669724813	2738	13	64	f3	b4	d9	7f
1462795669774185	2740	9d	01	2a	00	02	00
1462795669775142	2741	7c	1c	95	d8	71	41
1462795669775217	2742	a0	45	e1	de	38	da
1462795669776161	2744	70	f9	28	14	f1	7e
1462795669776311	2745	b6	ad	7f	ea	5a	9b
1462795669776341	2746	3c	98	4e	97	55	9d
1462795669776469	2748	63	4f	0b	46	75	d6
1462795669776593	2749	40	00	f3	56	a7	7f
1462795669776704	2751	13	64	f3	b4	d9	7f
1462795669825133	2753	9d	01	2a	00	02	00
1462795669826118	2754	7c	1c	95	d8	71	41
1462795669826275	2756	a0	45	e1	de	38	da
1462795669826349	2757	70	f9	28	14	f1	7e
1462795669826493	2759	b6	ad	7f	ea	5a	9b
1462795669826606	2760	3c	98	4e	97	55	9d
1462795669827158	2762	63	4f	0b	46	75	d6
1462795669827234	2763	40	00	f3	56	a7	7f
1462795669827343	2765	13	64	f3	b4	d9	7f
1462795669877251	2767	9d	01	2a	00	02	00
1462795669878273	2768	7c	1c	95	d8	71	41
1462795669879174	2770	a0	45	e1	de	38	da
1462795669879266	2771	70	f9	28	14	f1	7e
1462795669879418	2773	b6	ad	7f	ea	5a	9b
1462795669879516	2774	3c	98	4e	97	55	9d
1462795669879606	2776	63	4f	0b	46	75	d6
1462795669879730	2777	40	00	f3	56	a7	7f
1462795669880093	2779	13	64	f3	b4	d9	7f
1462795669935273	2783	9d	01	2a	00	02	00
1462795669936140	2784	7c	1c	95	d8	71	41
1462795669936241	2786	a0	45	e1	de	38	da
1462795669937145	2787	70	f9	28	14	f1	7e
1462795669937261	2789	b6	ad	7f	ea	5a	9b
1462795669937373	2790	3c	98	4e	97	55	9d
1462795669937496	2791	63	4f	0b	46	75	d6
1462795669937618	2793	40	00	f3	56	a7	7f
1462795669937753	2794	13	64	f3	b4	d9	7f
1462795669985177	2796	9d	01	2a	00	02	00
1462795669986175	2797	7c	1c	95	d8	71	41
1462795669986295	2799	a0	45	e1	de	38	da
1462795669986379	2800	70	f9	28	14	f1	7e
1462795669986546	2802	b6	ad	7f	ea	5a	9b
1462795669986626	2803	3c	98	4e	97	55	9d
1462795669987156	2805	63	4f	0b	46	75	d6
1462795669987264	2806	40	00	f3	56	a7	7f
1462795669987395	2808	13	64	f3	b4	d9	7f
1462795670040289	2810	9d	01	2a	00	02	00
1462795670041155	2811	b1	a5	4f	3a	9a	04
1462795670041267	2813	d3	00	48	e7	1f	91
1462795670041428	2814	3e	1b	7b	32	19	53
1462795670041507	2815	fe	df	39	90	f7	6d
1462795670041633	2817	c4	76	0c	bc	87	b6
1462795670042171	2818	eb	66	a4	a2	be	18
1462795670042263	2820	ca	6e	82	30	38	59
1462795670042368	2821	26	5c	af	d6	9b	e4
1462795670092292	2823	9d	01	2a	00	02	00
1462795670093189	2824	b1	a5	4f	3a	9a	04
1462795670094191	2826	d3	00	48	e7	1f	91
1462795670094303	2827	3e	1b	7b	32	19	53
1462795670094395	2828	fe	df	39	90	f7	6d
1462795670094566	2830	c4	76	0c	bc	87	b6
1462795670094643	2831	eb	66	a4	a2	be	18
1462795670094765	2832	ca	6e	82	30	38	59
1462795670094868	2834	26	5c	af	d6	9b	e4
1462795670148299	2836	9d	01	2a	00	02	00
1462795670149198	2837	b1	a5	4f	3a	9a	04
1462795670149314	2839	d3	00	48	e7	1f	91
1462795670149403	2840	3e	1b	7b	32	19	53
1462795670149562	2842	fe	df	39	90	f7	6d
1462795670149650	2843	c4	76	0c	bc	87	b6
1462795670150140	2845	eb	66	a4	a2	be	18
1462795670150282	2846	ca	6e	82	30	38	59
1462795670150382	2847	26	5c	af	d6	9b	e4
1462795670200340	2849	9d	01	2a	00	02	00
1462795670201219	2850	b1	a5	4f	3a	9a	04
1462795670201381	2852	d3	00	48	e7	1f	91
1462795670202197	2853	3e	1b	7b	32	19	53
1462795670202307	2855	fe	df	39	90	f7	6d
1462795670202409	2856	c4	76	0c	bc	87	b6
1462795670202533	2858	eb	66	a4	a2	be	18
1462795670202655	2859	ca	6e	82	30	38	59
1462795670202750	2861	26	5c	af	d6	9b	e4
1462795670248329	2863	9d	01	2a	00	02	00
1462795670249224	2864	b1	a5	4f	3a	9a	04
1462795670249364	2866	d3	00	48	e7	1f	91
1462795670250193	2867	3e	1b	7b	32	19	53
1462795670250292	2869	fe	df	39	90	f7	6d
1462795670250422	2870	c4	76	0c	bc	87	b6
1462795670250542	2871	eb	66	a4	a2	be	18
1462795670250663	2873	ca	6e	82	30	38	59
1462795670250768	2874	26	5c	af	d6	9b	e4
1462795670300223	2877	9d	01	2a	00	02	00
1462795670301221	2878	b1	a5	4f	3a	9a	04
1462795670301340	2880	d3	00	48	e7	1f	91
1462795670301425	2881	3e	1b	7b	32	19	53
1462795670301563	2883	fe	df	39	90	f7	6d
1462795670301672	2884	c4	76	0c	bc	87	b6
1462795670302212	2886	eb	66	a4	a2	be	18
1462795670302272	2887	ca	6e	82	30	38	59
1462795670302366	2889	26	5c	af	d6	9b	e4
1462795670348327	2891	9d	01	2a	00	02	00
1462795670349333	2892	b1	a5	4f	3a	9a	04
1462795670350168	2894	d3	00	48	e7	1f	91
1462795670350293	2895	3e	1b	7b	32	19	53
1462795670350450	2897	fe	df	39	90	f7	6d
1462795670350525	2898	c4	76	0c	bc	87	b6
1462795670350682	2900	eb	66	a4	a2	be	18
1462795670351210	2901	ca	6e	82	30	38	59
1462795670351330	2903	26	5c	af	d6	9b	e4
1462795670395278	2905	9d	01	2a	00	02	00
1462795670396238	2906	b1	a5	4f	3a	9a	04
1462795670397239	2908	d3	00	48	e7	1f	91
1462795670397347	2909	3e	1b	7b	32	19	53
1462795670397437	2910	fe	df	39	90	f7	6d
